City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,date
0,ushuaia,-54.8,-68.3,-2.19,74,100,1.54,AR,1727750582,2024-10-01 02:43:02
1,adamstown,-25.066,-130.1015,19.36,67,100,5.36,PN,1727750594,2024-10-01 02:43:14
2,puerto natales,-51.7236,-72.4875,2.36,92,98,4.04,CL,1727750555,2024-10-01 02:42:35
3,riberalta,-10.9833,-66.1,24.14,72,93,1.37,BO,1727750596,2024-10-01 02:43:16
4,whitehorse,60.7161,-135.0538,5.43,61,75,0.0,CA,1727750587,2024-10-01 02:43:07
5,rongelap,11.1635,166.8941,28.52,77,100,5.79,MH,1727750599,2024-10-01 02:43:19
6,port-aux-francais,-49.35,70.2167,5.25,95,100,17.15,TF,1727750600,2024-10-01 02:43:20
7,ribeira grande,38.5167,-28.7,24.32,95,90,8.05,PT,1727750601,2024-10-01 02:43:21
8,huarmey,-10.0681,-78.1522,17.72,88,83,4.21,PE,1727750602,2024-10-01 02:43:22
9,port mathurin,-19.6833,63.4167,22.43,77,10,10.04,MU,1727750603,2024-10-01 02:43:23
10,mahina,-17.5065,-149.489,28.87,70,75,4.63,PF,1727750604,2024-10-01 02:43:24
11,grytviken,-54.2811,-36.5092,-3.94,67,16,5.69,GS,1727750605,2024-10-01 02:43:25
12,amahai,-3.3333,128.9167,27.96,77,100,2.3,ID,1727750606,2024-10-01 02:43:26
13,bredasdorp,-34.5322,20.0403,9.54,69,54,2.49,ZA,1727750607,2024-10-01 02:43:27
14,fredericton,45.9454,-66.6656,13.47,91,100,4.12,CA,1727750150,2024-10-01 02:35:50
15,tiksi,71.6872,128.8694,-4.4,89,99,1.69,RU,1727750609,2024-10-01 02:43:29
16,papatowai,-46.5619,169.4708,15.64,47,99,3.78,NZ,1727750610,2024-10-01 02:43:30
17,montepuez,-13.1256,38.9997,21.26,84,66,3.49,MZ,1727750611,2024-10-01 02:43:31
18,ulanhot,46.0833,122.0833,10.98,30,51,6.09,CN,1727750612,2024-10-01 02:43:32
19,ust'-barguzin,53.45,108.9833,6.34,76,100,5.96,RU,1727750613,2024-10-01 02:43:33
20,asekeyevo,53.5742,52.7972,10.71,45,33,1.46,RU,1727750614,2024-10-01 02:43:34
21,taurage,55.2522,22.2897,5.64,65,100,3.39,LT,1727750615,2024-10-01 02:43:35
22,uturoa,-16.7333,-151.4333,26.78,75,45,3.48,PF,1727750038,2024-10-01 02:33:58
23,kamaishi,39.2667,141.8833,24.22,66,0,3.27,JP,1727750617,2024-10-01 02:43:37
24,edinburgh of the seven seas,-37.0676,-12.3116,12.62,80,7,4.74,SH,1727750618,2024-10-01 02:43:38
25,quzhou,28.9594,118.8686,24.41,79,100,2.96,CN,1727750619,2024-10-01 02:43:39
26,mannarakkat,10.9833,76.4667,29.1,68,12,1.13,IN,1727750620,2024-10-01 02:43:40
27,lerwick,60.1545,-1.1494,10.51,88,15,3.4,GB,1727750621,2024-10-01 02:43:41
28,aasiaat,68.7098,-52.8699,2.7,82,93,1.99,GL,1727750622,2024-10-01 02:43:42
29,dolyna,48.9733,24.0094,4.73,96,100,1.8,UA,1727750623,2024-10-01 02:43:43
30,badger,64.8,-147.5333,12.95,29,40,4.63,US,1727750624,2024-10-01 02:43:44
31,albany,42.6001,-73.9662,17.47,72,100,1.56,US,1727750555,2024-10-01 02:42:35
32,sinabang,2.4803,96.3801,27.68,80,100,2.27,ID,1727750626,2024-10-01 02:43:46
33,olivet,47.8622,1.8991,12.77,93,100,5.14,FR,1727750444,2024-10-01 02:40:44
34,enewetak,11.3474,162.3373,29.04,75,18,4.73,MH,1727750630,2024-10-01 02:43:50
35,igarka,67.4667,86.5833,3.53,83,91,7.85,RU,1727750631,2024-10-01 02:43:51
36,alotau,-10.3069,150.4462,28.89,73,63,3.22,PG,1727750632,2024-10-01 02:43:52
37,mount pearl,47.5166,-52.7813,12.86,94,100,4.63,CA,1727750633,2024-10-01 02:43:53
38,thinadhoo,0.5333,72.9333,28.19,75,46,2.9,MV,1727750634,2024-10-01 02:43:54
39,port elizabeth,-33.918,25.5701,10.73,81,75,9.26,ZA,1727750635,2024-10-01 02:43:55
40,olonets,60.9847,32.9698,1.2,82,0,1.86,RU,1727750636,2024-10-01 02:43:56
41,fort irwin,35.2627,-116.6848,32.74,9,0,1.54,US,1727750637,2024-10-01 02:43:57
42,tweed heads,-28.1817,153.547,22.88,64,75,7.72,AU,1727750638,2024-10-01 02:43:58
43,east london,-33.0153,27.9116,12.58,55,17,10.18,ZA,1727750639,2024-10-01 02:43:59
44,margaret river,-33.95,115.0667,17.31,62,100,2.76,AU,1727750640,2024-10-01 02:44:00
45,bechar,31.6167,-2.2167,25.18,41,0,1.03,DZ,1727750641,2024-10-01 02:44:01
46,san patricio,28.017,-97.5169,24.97,57,0,4.01,US,1727750642,2024-10-01 02:44:02
47,kuqa,41.7278,82.9364,14.86,38,0,2.21,CN,1727750352,2024-10-01 02:39:12
48,bilibino,68.0546,166.4372,0.65,97,100,0.88,RU,1727750644,2024-10-01 02:44:04
49,changzhi,35.2089,111.7386,16.48,24,38,7.69,CN,1727750645,2024-10-01 02:44:05
50,olonkinbyen,70.9221,-8.7187,-1.39,64,100,5.03,SJ,1727750646,2024-10-01 02:44:06
51,pingliang,35.5392,106.6861,11.96,27,0,0.86,CN,1727750647,2024-10-01 02:44:07
52,sur,22.5667,59.5289,28.33,67,0,2.63,OM,1727750648,2024-10-01 02:44:08
53,waitangi,-43.9535,-176.5597,12.68,78,99,1.79,NZ,1727750649,2024-10-01 02:44:09
54,northam,51.0333,-4.2167,12.56,91,27,4.82,GB,1727750650,2024-10-01 02:44:10
55,invercargill,-46.4,168.35,13.34,77,100,1.79,NZ,1727750651,2024-10-01 02:44:11
56,dudinka,69.4058,86.1778,3.94,75,100,5.83,RU,1727750652,2024-10-01 02:44:12
57,hermanus,-34.4187,19.2345,7.11,63,95,1.9,ZA,1727750653,2024-10-01 02:44:13
58,labuan bajo,-8.4964,119.8877,29.76,68,5,3.0,ID,1727750654,2024-10-01 02:44:14
59,mount gambier,-37.8333,140.7667,15.98,57,41,3.72,AU,1727750655,2024-10-01 02:44:15
60,puerto ayora,-0.7393,-90.3518,20.31,96,95,1.34,EC,1727750483,2024-10-01 02:41:23
61,west island,-12.1568,96.8225,26.99,89,100,6.69,CC,1727750657,2024-10-01 02:44:17
62,matoury,4.8483,-52.3317,25.98,89,0,1.54,GF,1727750658,2024-10-01 02:44:18
63,antofagasta,-23.65,-70.4,15.6,80,65,3.34,CL,1727750567,2024-10-01 02:42:47
64,kyaikkami,16.08,97.5675,27.88,82,100,5.99,MM,1727750660,2024-10-01 02:44:20
65,ben mehidi,36.7697,7.9064,16.99,82,0,1.54,DZ,1727750661,2024-10-01 02:44:21
66,kalajoki,64.25,23.95,7.17,78,88,6.76,FI,1727750663,2024-10-01 02:44:23
67,turpan,42.9333,89.1667,18.95,13,0,1.32,CN,1727750664,2024-10-01 02:44:24
68,alice springs,-23.7,133.8833,20.75,21,100,5.66,AU,1727750665,2024-10-01 02:44:25
69,waddan,29.1614,16.139,20.06,67,0,1.71,LY,1727750666,2024-10-01 02:44:26
70,georgetown,5.4112,100.3354,29.96,78,20,1.54,MY,1727750667,2024-10-01 02:44:27
71,haiku-pauwela,20.9219,-156.3051,27.36,71,38,11.62,US,1727750668,2024-10-01 02:44:28
72,yellowknife,62.456,-114.3525,2.45,100,100,5.66,CA,1727750669,2024-10-01 02:44:29
73,walvis bay,-22.9575,14.5053,9.53,81,0,3.6,NA,1727750670,2024-10-01 02:44:30
74,narvik,68.4384,17.4272,7.37,78,48,5.36,NO,1727750614,2024-10-01 02:43:34
75,hamilton,39.1834,-84.5333,20.79,93,100,3.09,US,1727750209,2024-10-01 02:36:49
76,ilulissat,69.2167,-51.1,4.01,93,100,3.09,GL,1727750673,2024-10-01 02:44:33
77,vorgashor,67.5833,63.95,2.17,78,100,14.53,RU,1727750674,2024-10-01 02:44:34
78,kingston,17.997,-76.7936,28.53,79,20,4.12,JM,1727750539,2024-10-01 02:42:19
79,saipan,15.1355,145.701,32.39,70,40,5.66,MP,1727750676,2024-10-01 02:44:36
80,madara,11.7798,10.4479,26.09,67,37,3.35,NG,1727750677,2024-10-01 02:44:37
81,nabire,-3.3667,135.4833,29.93,69,93,2.43,ID,1727750678,2024-10-01 02:44:38
82,bremen,53.0752,8.8078,11.1,100,75,4.12,DE,1727750679,2024-10-01 02:44:39
83,las tablas,7.7667,-80.2833,23.99,99,100,2.28,PA,1727750680,2024-10-01 02:44:40
84,khovd,48.0056,91.6419,8.66,22,20,0.59,MN,1727750681,2024-10-01 02:44:41
85,wailua homesteads,22.0669,-159.378,27.44,78,100,5.14,US,1727750682,2024-10-01 02:44:42
86,kudahuvadhoo,2.6708,72.8944,28.44,74,100,3.99,MV,1727750683,2024-10-01 02:44:43
87,kodiak,57.79,-152.4072,9.73,66,0,6.69,US,1727750684,2024-10-01 02:44:44
88,quartu sant'elena,39.2419,9.1839,18.35,77,0,2.06,IT,1727750685,2024-10-01 02:44:45
89,lebu,-37.6167,-73.65,8.99,85,72,3.63,CL,1727750686,2024-10-01 02:44:46
90,qaqortoq,60.7167,-46.0333,3.9,96,100,1.1,GL,1727750687,2024-10-01 02:44:47
91,tvoroyri,61.5556,-6.8111,8.5,84,48,6.42,FO,1727750688,2024-10-01 02:44:48
92,college,64.8569,-147.8028,12.99,32,40,4.63,US,1727750689,2024-10-01 02:44:49
93,abra pampa,-22.7205,-65.697,11.47,8,0,2.92,AR,1727750690,2024-10-01 02:44:50
94,thompson,55.7435,-97.8558,5.09,93,100,9.77,CA,1727750533,2024-10-01 02:42:13
95,hilo,19.7297,-155.09,27.85,70,75,4.63,US,1727750430,2024-10-01 02:40:30
96,arenapolis,-14.4503,-56.8461,27.6,49,96,2.06,BR,1727750693,2024-10-01 02:44:53
97,fale old settlement,-9.3852,-171.2468,27.85,76,98,3.84,TK,1727750694,2024-10-01 02:44:54
98,tura,25.5198,90.2201,26.73,94,100,1.66,IN,1727750412,2024-10-01 02:40:12
99,murzuq,25.9155,13.9184,24.42,47,0,5.52,LY,1727750696,2024-10-01 02:44:56
100,benguela,-12.5763,13.4055,21.42,86,14,2.49,AO,1727750697,2024-10-01 02:44:57
101,plaza huincul,-38.926,-69.2086,8.97,10,85,2.24,AR,1727750698,2024-10-01 02:44:58
102,itoman,26.1247,127.6694,31.21,79,40,6.17,JP,1727750700,2024-10-01 02:45:00
103,newman,37.3138,-121.0208,25.03,47,0,0.89,US,1727750701,2024-10-01 02:45:01
104,sept-iles,50.2001,-66.3821,10.0,82,0,3.6,CA,1727750514,2024-10-01 02:41:54
105,blackmans bay,-43.0167,147.3167,16.07,30,6,6.59,AU,1727750703,2024-10-01 02:45:03
106,keflavik,64.0049,-22.5624,4.24,87,100,4.63,IS,1727750704,2024-10-01 02:45:04
107,olyokminsk,60.3736,120.4264,3.62,97,100,5.36,RU,1727750705,2024-10-01 02:45:05
108,djelfa,34.6728,3.263,21.03,55,0,3.04,DZ,1727750706,2024-10-01 02:45:06
109,sona,45.4388,10.8255,14.51,84,20,2.06,IT,1727750707,2024-10-01 02:45:07
110,jamestown,42.097,-79.2353,19.45,85,100,3.09,US,1727750556,2024-10-01 02:42:36
111,hondomachi-hondo,32.45,130.2,26.56,65,31,1.68,JP,1727750709,2024-10-01 02:45:09
112,mogadishu,2.0371,45.3438,25.47,80,97,4.11,SO,1727750710,2024-10-01 02:45:10
113,meulaboh,4.1363,96.1285,24.73,93,100,1.19,ID,1727750711,2024-10-01 02:45:11
114,atafu village,-8.5421,-172.5159,28.37,73,25,3.83,TK,1727750712,2024-10-01 02:45:12
115,al marj,32.488,20.8317,18.87,69,9,5.61,LY,1727750713,2024-10-01 02:45:13
116,obihiro,42.9172,143.2044,21.67,59,1,1.73,JP,1727750714,2024-10-01 02:45:14
117,cam ranh,11.9214,109.1591,33.98,55,0,2.06,VN,1727750715,2024-10-01 02:45:15
118,aconibe,1.2968,10.9369,19.75,98,100,1.38,GQ,1727750717,2024-10-01 02:45:17
119,fort bragg,35.139,-79.006,22.91,94,40,1.54,US,1727750718,2024-10-01 02:45:18
120,bear valley springs,35.1591,-118.6284,21.82,44,0,1.06,US,1727750720,2024-10-01 02:45:20
121,pahlgam,34.0333,75.3333,14.48,27,0,0.23,IN,1727750721,2024-10-01 02:45:21
122,trinidad,-14.8333,-64.9,29.84,48,74,3.52,BO,1727750722,2024-10-01 02:45:22
123,bamboo flat,11.7,92.7167,28.05,89,40,2.57,IN,1727750723,2024-10-01 02:45:23
124,tazovsky,67.4667,78.7,3.47,78,96,10.0,RU,1727750724,2024-10-01 02:45:24
125,quellon,-43.1167,-73.6167,2.7,74,14,3.37,CL,1727750726,2024-10-01 02:45:26
126,poronaysk,49.2167,143.1167,12.19,87,100,2.03,RU,1727750727,2024-10-01 02:45:27
127,keren,15.7778,38.4581,20.15,77,7,0.59,ER,1727750728,2024-10-01 02:45:28
128,kismayo,-0.3582,42.5454,24.95,86,72,3.78,SO,1727750729,2024-10-01 02:45:29
129,martapura,-3.4167,114.85,32.05,58,20,1.54,ID,1727750730,2024-10-01 02:45:30
130,nova sintra,14.8667,-24.7167,26.44,87,14,3.13,CV,1727750731,2024-10-01 02:45:31
131,nar'yan-mar,67.6713,53.087,4.46,71,100,12.56,RU,1727750732,2024-10-01 02:45:32
132,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,62,75,1.0,RU,1727750733,2024-10-01 02:45:33
133,al ghayzah,16.2079,52.176,27.1,72,66,3.34,YE,1727750735,2024-10-01 02:45:35
134,muroto-misakicho,33.2833,134.15,25.46,70,66,3.7,JP,1727750736,2024-10-01 02:45:36
135,dunedin,-45.8742,170.5036,13.44,61,100,5.14,NZ,1727750669,2024-10-01 02:44:29
136,polyarnyy,69.1989,33.4478,2.42,79,80,7.55,RU,1727750738,2024-10-01 02:45:38
137,ameca,20.55,-104.0333,18.71,88,90,2.24,MX,1727750739,2024-10-01 02:45:39
138,port saint john's,-31.6229,29.5448,13.31,46,0,8.06,ZA,1727750740,2024-10-01 02:45:40
139,axim,4.8699,-2.2405,24.5,89,100,3.79,GH,1727750741,2024-10-01 02:45:41
140,lihue,21.9789,-159.3672,27.77,76,100,5.14,US,1727750742,2024-10-01 02:45:42
141,ormara,25.2088,64.6357,27.33,86,0,7.78,PK,1727750743,2024-10-01 02:45:43
142,tolanaro,-25.0319,46.9987,22.04,88,0,5.14,MG,1727750744,2024-10-01 02:45:44
143,conceicao da barra,-18.5933,-39.7322,22.78,77,1,2.48,BR,1727750745,2024-10-01 02:45:45
144,longyearbyen,78.2186,15.6401,-4.09,100,40,4.12,SJ,1727750746,2024-10-01 02:45:46
145,stanley,54.868,-1.6985,11.27,95,75,5.66,GB,1727750747,2024-10-01 02:45:47
146,parfino,57.9731,31.6481,4.65,73,100,3.54,RU,1727750748,2024-10-01 02:45:48
147,sitka,57.0531,-135.33,12.94,54,100,10.29,US,1727750749,2024-10-01 02:45:49
148,queenstown,-31.8976,26.8753,2.42,64,3,5.56,ZA,1727750750,2024-10-01 02:45:50
149,touros,-5.1989,-35.4608,24.32,74,6,7.19,BR,1727750751,2024-10-01 02:45:51
150,maddagiri,13.6606,77.2092,26.26,64,5,2.05,IN,1727750752,2024-10-01 02:45:52
151,villa gesell,-37.2639,-56.973,12.01,81,69,5.59,AR,1727750719,2024-10-01 02:45:19
152,san andres,12.5847,-81.7006,26.01,89,20,1.03,CO,1727750754,2024-10-01 02:45:54
153,shache,38.4167,77.2406,14.78,43,89,4.97,CN,1727750755,2024-10-01 02:45:55
154,kharp,66.8014,65.8081,3.16,76,100,13.05,RU,1727750756,2024-10-01 02:45:56
155,mumford,5.2618,-0.759,24.22,91,65,3.74,GH,1727750757,2024-10-01 02:45:57
156,carnarvon,-24.8667,113.6333,22.1,64,0,4.74,AU,1727750759,2024-10-01 02:45:59
157,bayanhongor,46.7167,100.1167,1.52,39,39,2.41,MN,1727750760,2024-10-01 02:46:00
158,hawaiian paradise park,19.5933,-154.9731,27.73,78,75,4.63,US,1727750761,2024-10-01 02:46:01
159,belle fourche,44.6714,-103.8522,10.05,29,65,3.05,US,1727750762,2024-10-01 02:46:02
160,klyuchi,52.2667,79.1667,15.47,42,8,3.01,RU,1727750763,2024-10-01 02:46:03
161,tobelo,1.7284,128.0095,29.13,70,100,2.14,ID,1727750764,2024-10-01 02:46:04
162,bangolo,7.0069,-7.475,21.65,100,100,0.76,CI,1727750765,2024-10-01 02:46:05
163,vila franca do campo,37.7167,-25.4333,24.23,95,53,4.73,PT,1727750766,2024-10-01 02:46:06
164,heavitree,50.7204,-3.4965,10.49,97,20,2.06,GB,1727750767,2024-10-01 02:46:07
165,westport,41.1415,-73.3579,17.08,83,99,2.84,US,1727750769,2024-10-01 02:46:09
166,iskateley,67.6803,53.1512,4.48,71,100,12.48,RU,1727750770,2024-10-01 02:46:10
167,ancud,-41.8697,-73.8203,3.63,71,53,3.17,CL,1727750771,2024-10-01 02:46:11
168,mar del plata,-38.0023,-57.5575,12.01,88,0,8.05,AR,1727750095,2024-10-01 02:34:55
169,mili,6.0815,171.735,28.31,74,100,3.6,MH,1727750773,2024-10-01 02:46:13
170,ishikawa,26.4233,127.8214,31.18,74,75,6.17,JP,1727750774,2024-10-01 02:46:14
171,jennings,38.7192,-90.2604,22.75,84,100,0.0,US,1727750775,2024-10-01 02:46:15
172,isafjordur,66.0755,-23.124,3.21,93,100,6.55,IS,1727750776,2024-10-01 02:46:16
173,mongo,12.1844,18.693,27.88,62,99,2.41,TD,1727750777,2024-10-01 02:46:17
174,santa cruz,-17.8,-63.1667,28.7,65,35,6.69,BO,1727750547,2024-10-01 02:42:27
175,midvagur,62.0511,-7.1939,7.46,93,100,4.12,FO,1727750779,2024-10-01 02:46:19
176,ankang,32.68,109.0172,16.65,54,100,0.72,CN,1727750780,2024-10-01 02:46:20
177,chernyshevskiy,63.0128,112.4714,3.15,97,100,4.14,RU,1727750781,2024-10-01 02:46:21
178,moramanga,-18.9333,48.2,15.3,92,75,0.77,MG,1727750782,2024-10-01 02:46:22
179,port-gentil,-0.7193,8.7815,24.8,84,100,5.63,GA,1727750783,2024-10-01 02:46:23
180,sabang,5.8933,95.3214,28.32,76,100,4.15,ID,1727750784,2024-10-01 02:46:24
181,hadibu,12.65,54.0333,25.23,83,12,2.43,YE,1727750785,2024-10-01 02:46:25
182,avarua,-21.2078,-159.775,23.03,68,75,2.57,CK,1727750786,2024-10-01 02:46:26
183,ataq,14.5377,46.8319,23.83,67,31,3.19,YE,1727750787,2024-10-01 02:46:27
184,nakhon thai,17.1006,100.8374,26.37,90,99,1.36,TH,1727750788,2024-10-01 02:46:28
185,"laikit, laikit ii (dimembe)",1.4792,124.9735,28.47,70,40,2.06,ID,1727750790,2024-10-01 02:46:30
186,bethel,41.3712,-73.414,15.64,86,0,0.45,US,1727750670,2024-10-01 02:44:30
187,talnakh,69.4865,88.3972,1.75,100,100,3.1,RU,1727750792,2024-10-01 02:46:32
188,prince rupert,54.3161,-130.3201,11.83,82,100,20.58,CA,1727750793,2024-10-01 02:46:33
189,port alfred,-33.5906,26.891,10.1,72,62,2.68,ZA,1727750794,2024-10-01 02:46:34
190,mariehamn,60.0973,19.9348,1.92,100,75,1.54,AX,1727750795,2024-10-01 02:46:35
191,praia da vitoria,38.7333,-27.0667,25.14,83,40,6.25,PT,1727750796,2024-10-01 02:46:36
192,birao,10.2849,22.7882,21.65,91,100,1.63,CF,1727750797,2024-10-01 02:46:37
193,flying fish cove,-10.4217,105.6791,27.82,83,100,6.17,CX,1727750798,2024-10-01 02:46:38
194,ola,59.5833,151.2833,4.96,45,100,1.0,RU,1727750799,2024-10-01 02:46:39
